# id: location ID
# date: in the center of the calibration time window (if known) 
# Nr: raw (observed) neutron count rate (cph)
# sensitivity: sensitivity relative to FZJ calibrator (-)
# N: neutron count rate (cph), corrected for sensor efficiency (Nr/sensitivity)
# abshum: mean absolute humidity in calibration period (g/m3)
# fp: mean correction factor for pressure in calibration period (-)
# fh: mean correction factor for humidity in calibration period (-)
# fijung: mean correction factor for temporal variability of incoming neutrons in calibration period, based on JUNG (-)
# phi: temporal correction factor from pressure, humidity, incoming (fh * fp * fijung)
# Nc: neutron count rate (cph), phi-corrected (pressure, humidity, incoming)
# biomass: above-ground dry biomass (kg/m²), treated as 0 if not available
# Nvegc: neutron count rate (cph), corrected for biomass based on Baatz et al., 2015 (cph), Nc / (1 - biomass * 0.9 / 100.)
# Nsim: "neutron intensity" as simulated by PARMA (mean over energy range 1e-6 to 1e-1 MeV)
# fi: scaling factor based on Nsim, obtained by Nsim@Marquardt/Nsim
# Nscaled: neutron count rate (cph), corrected by PARMA (Nvegc * fi, if applicable, otherwise Nc * fi)
# bd: dry soil bulk density (kg/m³)
# theta: average SWC in the sensor footprint, to be used for calibration (m³/m³)
# weq: soil water equivalent of SOM and lattice water (m³/m³)
# thetaeff: apparent SWC (theta + weq, m³/m³)
# landuse: string decribing major landuse
# lon: longitude of location (decimal degree)
# lat: latitude of location (decimal degree)
# alt: altitude of location (m asl)
# tocal: True if row data was used for general N0 calibration
id;date;Nr;sensitivity;N;abshum;fp;fh;fijung;phi;Nc;biomass;Nvegc;Nsim;fi;Nscaled;bd;theta;weq;thetaeff;landuse;lon;lat;alt;tocal
JEC001;2015-07-24 12:00:00;1665.520;1.147;1452.066;11.740;0.958;1.022;1.034;1.013;1470.404;0.000;1470.404;18.407;0.929;1366.014;1218.326;0.191;0.056;0.247;Grassland;11.625;50.951;140.000;True
JEC001;2015-08-02 12:00:00;1707.760;1.147;1488.893;8.765;1.011;1.006;1.030;1.048;1560.958;0.000;1560.958;18.407;0.929;1450.139;1219.829;0.182;0.056;0.238;Grassland;11.625;50.951;140.000;False
JEC001;2015-08-09 12:00:00;1709.680;1.147;1490.567;12.811;1.017;1.028;1.034;1.081;1611.711;0.000;1611.711;18.407;0.929;1497.289;1220.665;0.176;0.056;0.233;Grassland;11.625;50.951;140.000;False
JEC001;2015-08-24 12:00:00;1669.240;1.147;1455.310;13.017;0.924;1.029;1.032;0.982;1428.696;0.000;1428.696;18.407;0.929;1327.267;1213.608;0.223;0.056;0.280;Grassland;11.625;50.951;140.000;False
JEC001;2015-08-31 12:00:00;1649.160;1.147;1437.803;15.048;0.962;1.040;1.029;1.031;1481.635;0.000;1481.635;18.407;0.929;1376.448;1215.946;0.207;0.056;0.263;Grassland;11.625;50.951;140.000;False
JEC001;2015-09-10 12:00:00;1540.480;1.147;1343.051;8.456;1.047;1.005;1.045;1.099;1476.322;0.000;1476.322;18.407;0.929;1371.512;1216.916;0.200;0.056;0.257;Grassland;11.625;50.951;140.000;False
JEC001;2015-09-16 12:00:00;1748.760;1.147;1524.638;10.429;0.889;1.015;1.058;0.954;1455.127;0.000;1455.127;18.407;0.929;1351.821;1216.408;0.204;0.056;0.260;Grassland;11.625;50.951;140.000;False
JEC001;2015-09-24 12:00:00;1588.880;1.147;1385.248;8.218;1.012;1.003;1.036;1.052;1457.829;0.000;1457.829;18.407;0.929;1354.331;1215.992;0.207;0.056;0.263;Grassland;11.625;50.951;140.000;False
JEC001;2015-09-30 12:00:00;1472.320;1.147;1283.627;5.989;1.143;0.991;1.032;1.170;1501.224;0.000;1501.224;18.407;0.929;1394.646;1216.495;0.203;0.056;0.259;Grassland;11.625;50.951;140.000;False
JEC001;2015-10-18 12:00:00;1542.920;1.147;1345.179;6.987;1.012;0.997;1.031;1.040;1398.399;0.000;1398.399;18.407;0.929;1299.121;1203.331;0.308;0.056;0.364;Grassland;11.625;50.951;140.000;False
JEC001;2015-11-01 12:00:00;1417.120;1.147;1235.501;6.113;1.111;0.992;1.037;1.143;1412.257;0.000;1412.257;18.407;0.929;1311.995;1205.669;0.287;0.056;0.343;Grassland;11.625;50.951;140.000;False
